Galaxy         RA          DEC          z        B_T   Morphology          mB     mBunc d25     d25b/a PA   u      uunc   dist   d_unc  emily LVL
               J2000       J2000                 mag   NED                 mag    mag   arcsecs        deg  mag    mag    Mpc    Mpc    boo   boo
NGC4051        12h03m09.6s +44d31m53s   0.002336 10.83 SAB(rs)bc           11.31  0.20  314.90  0.74   135. 30.80  0.3300 14.58  2.210  0     0     
NGC4068        12h04m00.8s +52d35m18s   0.000700 13.00 IAm                 13.00  0.20  198.70  0.53   30.0 28.32  0.3400 4.660  0.7800 0     0     
NGC4085        12h05m22.7s +50d21m11s   0.002487 12.95 SAB(s)c?            12.88  0.14  169.10  0.28   78.0 31.37  0.2900 18.96  2.440  0     0     
NGC4088        12h05m34.2s +50d32m21s   0.002524 11.15 SAB(rs)bc           11.11  0.14  345.30  0.39   43.0 31.04  0.2600 16.24  2.050  0     0     
UGC07089       12h05m57.7s +43d08m36s   0.002568 14.00 Sdm?                14.40  0.30  194.20  0.20   36.0 30.68  0.3300 13.87  2.120  0     0     
NGC4096        12h06m01.1s +47d28m42s   0.001888 12.30 SAB(rs)c            11.59  0.14  396.40  0.27   20.0 30.60  0.4000 13.37  2.300  0     1     
NGC4100        12h06m08.5s +49d34m58s   0.003584 11.89 (R')SA(rs)bc        11.64  0.14  322.20  0.33   167. 31.64  0.3100 21.45  2.890  0     0     
NGC4102        12h06m23.0s +52d42m40s   0.002823 12.30 SAB(s)b?            11.92  0.15  181.20  0.57   38.0 31.57  0.4300 21.03  4.450  0     0     
NGC4111        12h07m03.1s +43d03m57s   0.002692 11.63 SA0^+(r)?/edge-on   11.56  0.12  274.30  0.21   150. 31.01  0.1900 16.00  1.410  0     0     
UGC07125       12h08m42.3s +36d48m10s   0.003572 14.10 Sm                  14.20  0.30  280.60  0.16   85.0 32.18  0.6700 28.00  8.490  0     0     
NGC4138        12h09m29.8s +43d41m07s   0.002962 12.16 SA0^+(r)            12.08  0.12  154.20  0.66   150. 30.95  0.2300 15.57  1.630  0     0     
NGC4143        12h09m36.1s +42d32m03s   0.003196 11.90 SAB0^0(s)           12.03  0.13  137.50  0.63   144. 31.00  0.1500 15.90  1.100  0     0     
NGC4144        12h09m58.6s +46d27m26s   0.000884 12.05 SAB(s)cd?/edge-on   12.10  0.14  361.50  0.22   104. 29.05  0.5300 6.640  1.560  0     0     
NGC4151        12h10m32.6s +39d24m21s   0.003319 11.50 (R')SAB(rs)ab?      10.90  0.15  378.60  0.71   50.0 29.75  2.540  12.09  11.60  0     0     
NGC4183        12h13m16.9s +43d41m55s   0.003102 12.90 SA(s)cd?/edge-on    12.85  0.15  314.90  0.15   166. 31.10  0.2000 16.68  1.420  0     0     
NGC4203        12h15m05.1s +33d11m50s   0.003623 11.80 SAB0^-?             11.55  0.13  203.30  0.93   10.0 30.44  0.4900 12.43  2.700  0     0     
NGC4214        12h15m39.2s +36d19m37s   0.000970 10.24 IAB(s)m             10.20  0.16  510.70  0.78   128  27.59  0.5100 3.400  1.010  0     0     
NGC4220        12h16m11.7s +47d53m00s   0.003049 12.20 SA0^+(r)            12.20  0.12  233.40  0.35   141. 31.26  0.1600 17.90  1.270  0     0     
UGC07301       12h16m42.1s +46d04m44s   0.002301 15.30 Sd                  15.49  0.19  109.20  0.13   82.0 31.59  0.8600 21.60  8.340  0     0     
NGC4242        12h17m30.2s +45d37m09s   0.001688 11.37 SAB(s)dm            11.55  0.17  300.70  0.76   25.0 29.43  0.6300 7.900  2.320  0     1     
UGC07408       12h21m15.0s +45d48m41s   0.001541 13.35 IAm                 14.30  0.30  157.80  0.46   100. 29.13  NaN    6.700  NaN    0     0     
NGC4369        12h24m36.2s +39d22m59s   0.003486 12.33 (R)SA(rs)a          12.24  0.15  125.40  0.98   175  31.67  NaN    21.60  NaN    0     0     
NGC4389        12h25m35.1s +45d41m05s   0.002396 12.60 SB(rs)bc/pec?       12.70  0.15  157.80  0.51   105. 30.94  0.3000 15.50  2.120  1     0     
UGC07577       12h27m40.9s +43d29m44s   0.000650 12.84 Im                  13.90  0.60  255.90  0.56   130. 27.31  0.5100 2.970  0.8400 0     0     
UGC07608       12h28m44.2s +43d13m27s   0.001795 13.67 Im                  NaN    NaN   203.30  0.98   NaN  29.40  NaN    7.600  NaN    0     0     
NGC4460        12h28m45.6s +44d51m51s   0.001634 12.26 SB0^+(s)?/edge-on   12.26  0.11  238.90  0.29   40.0 29.72  0.2700 8.850  1.050  0     0     
UGC07639       12h29m53.4s +47d31m52s   0.001274 14.30 Im                  14.30  0.40  137.50  0.71   153. 29.20  0.3500 6.970  1.110  1     0     
NGC4485        12h30m31.1s +41d42m04s   0.001644 12.32 IB(s)m/pec          12.47  0.16  137.50  0.71   15.0 29.85  NaN    9.300  NaN    0     1     
NGC4490        12h30m36.2s +41d38m38s   0.001885 10.22 SB(s)d/pec          10.34  0.18  378.60  0.49   125. 29.68  0.3100 8.680  1.240  0     1     
UGC07699       12h32m48.0s +37d37m18s   0.001654 13.30 SBcd?               13.17  0.19  228.10  0.27   32.0 30.75  0.9400 15.13  5.240  0     1     
UGC07774       12h36m22.7s +40d00m19s   0.001755 14.50 Sd                  14.80  0.30  217.80  0.12   102. 31.13  1.150  18.70  8.080  0     0     
NGC4618        12h41m32.8s +41d09m03s   0.001815 11.22 SB(rs)m             11.31  0.16  250.10  0.81   25.0 29.31  NaN    7.300  NaN    0     1     
IC3687         12h42m15.1s +38d30m12s   0.001181 13.71 IAB(s)m             14.50  0.80  203.30  0.89   NaN  28.06  0.4600 4.160  0.7700 0     0     
NGC4707        12h48m22.9s +51d09m53s   0.001561 13.40 Sm?                 14.50  0.50  134.30  0.93   25.0 29.52  NaN    8.000  NaN    0     1     
NGC4861        12h59m02.3s +34d51m34s   0.002785 12.90 SB(s)m?             12.54  0.16  238.90  0.37   15.0 30.32  1.310  12.69  7.220  0     0     
IC4182         13h05m49.5s +37d36m18s   0.001071 13.00 SA(s)m              13.00  0.70  361.50  0.91   NaN  28.12  0.4300 4.270  0.6800 0     0     
NGC5005        13h10m56.2s +37d03m33s   0.003156 10.61 SAB(rs)bc           10.87  0.16  345.30  0.48   65.0 31.40  0.6500 19.87  6.670  1     0     
IC4213         13h12m11.2s +35d40m11s   0.002719 14.01 Scd?                14.01  0.18  150.70  0.19   174. 31.45  0.1800 19.55  1.530  0     0     
NGC5023        13h12m12.6s +44d02m28s   0.001358 12.85 Scd?/edge-on        12.97  0.19  361.50  0.13   28.0 29.65  0.7700 8.980  2.860  0     1     
UGC08303       13h13m17.6s +36d13m03s   0.003149 13.48 IAB(s)m             14.10  0.40  134.30  0.85   155  31.54  NaN    20.30  NaN    0     0     
NGC5033        13h13m27.5s +36d35m38s   0.002919 10.75 SA(s)c              10.57  0.17  642.90  0.47   170. 31.38  0.5900 19.64  7.360  0     0     
UGC08320       13h14m28.0s +45d55m09s   0.000640 12.70 IBm                 13.50  0.30  217.80  0.38   150. 28.26  0.3400 4.530  0.7000 0     1     
